Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2018,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36
Vermont Square Park,Other,819 Palmerston Ave,Toronto,M6G 2R8,1,Square feet,100,0,5508.3601859999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.33440744000001,5508.3831375007749,NA,VERMONTP,Outdoor Recreational Facilities
Viewmount Park Tennis,Other,167 Viewmount Ave,Toronto,M6B 1T5,1916,Square feet,100,0,59636.486206000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2385.4594482400003,31.125644410939035,NA,VMA,Outdoor Recreational Facilities
Vine Avenue Playground,Other,200 Vine Av,Toronto,M6P 1V9,54207,Square feet,100,0,5472.2918200000004,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.89167280000001,0.10095217630962638,NA,VAPG,Outdoor Recreational Facilities
Wadsworth Park,Other,150 Laughton Ave,Toronto,M6N 2X1,193050,Square feet,100,0,5419.7606940000005,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.79042776000003,2.8074505445927097E-2,NA,LTPG,Outdoor Recreational Facilities
Wanless Park,Other,250 Wanless Ave,Toronto,M4N 1W5,337114,Square feet,100,0,55966.579495999998,kWh,135.41758200000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2495.9146061895799,0.17025807879875898,NA,WLSP,Outdoor Recreational Facilities
Wedgewood Pool and Rink,Other,15 Swan Ave,Etobicoke,M9B 1V1,2648,Square feet,100,0,175239.67510600001,kWh,22112.6,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49016.67209824,154.33442250469531,NA,WEDGE,Outdoor Recreational Facilities
Wellesley Park,Other,474 Wellesley St E,Toronto,M4X 1H9,23000,Square feet,100,0,12361.51845,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.46073799999999,0.53745956331855971,NA,WLLP,Outdoor Recreational Facilities
Wellesworth Park,Other,55 Dixfield Dr,Etobicoke,M9C 4J2,388889,Square feet,100,0,612.17099999999994,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.486839999999997,1.5741601092149685E-3,NA,55DIXF,Outdoor Recreational Facilities
West Deane Park,Other,350 Martin Grove Rd,Etobicoke,M9B 4L9,5898719,Square feet,100,0,22972.464,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,918.89855999999997,3.8944997581000216E-3,NA,350MAR,Outdoor Recreational Facilities
West Deane Pool (outdoor),Other,19 Sedgebrooke Cres,Etobicoke,M9B 2X2,1098,Square feet,100,0,21046.154736,kWh,7294.5272730000006,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14699.186704685373,89.301209952933888,NA,WDNP,Outdoor Recreational Facilities
West Humber Parkland,Other,70 Westhumber Blvd,Etobicoke,M9W 3M6,1163,Square feet,100,0,21453.434934000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,858.13739736000002,18.446710510156684,NA,WHP,Outdoor Recreational Facilities
West Mall Rink and Pool,Other,376 The West Mall,Etobicoke,M9C 1E4,9192,Square feet,100,0,403618.47399999999,kWh,34410.902574,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81514.786470802064,83.429871866550755,NA,WEST,Outdoor Recreational Facilities
Westgrove Pool (outdoor),Other,15 Redgrave Dr,Etobicoke,M9R 3T9,1055,Square feet,100,0,132832.59530400002,kWh,12296.268547,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28672.402208210431,248.94953269695117,NA,WGRP,Outdoor Recreational Facilities
Westmount Park and Pool,Other,22 Arcade Dr,Scarborough,M1P 4N7,178691,Square feet,100,0,1243.295627,kWh,9142,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17416.697805080003,0.54705100367588921,NA,WESTM,Outdoor Recreational Facilities
Weston Park,Other,2125 Lawrence Ave W,Toronto,M9N 1H7,3250,Square feet,100,0,61582.606621000006,kWh,20986,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42330.198604839999,87.115931216918938,NA,WTP,Outdoor Recreational Facilities
Westway Rink (outdoor),Other,175 The Westway,Etobicoke,M9P 2C2,3714,Square feet,100,0,164897.870119,kWh,10156.27853,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25889.695565415699,73.267590229671441,NA,WESWR,Outdoor Recreational Facilities
Westwood Park,Other,90 Floyd Ave,Toronto,M4K 2E4,12141,Square feet,100,0,4395.0631300000005,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.80252520000002,0.36200324872440837,NA,WESTWO,Outdoor Recreational Facilities
Wexford Park,Other,55 Singleton Rd,Scarborough,M1C 2Z1,503912,Square feet,100,0,2355.037953,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.201518120000003,4.6735298338958734E-3,NA,55SING,Outdoor Recreational Facilities
Wigmore Park,Other,106 Wigmore Dr,North York,M4A 2E8,463859,Square feet,100,0,13512.360111,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540.49440444000004,2.9130439233690544E-2,NA,WMP,Outdoor Recreational Facilities
Wilket Creek Park,Other,1120 Leslie St,North York,M3C 2J7,4,Square feet,100,0,55396.219351000007,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2215.8487740400005,13849.112542145158,NA,WCP,Outdoor Recreational Facilities
Willowdale Park Tennis,Other,374 Kenneth Ave,North York,M2N 4V9,433021,Square feet,100,0,5355.4873419999994,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.21949367999997,1.2367782755410455E-2,NA,WILP,Outdoor Recreational Facilities
Winchester Park North,Other,512 Ontario St,Toronto,M4X 1M7,1,Square feet,100,0,4077.8391369999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.11356548000001,4077.8561279964038,NA,WINC,Outdoor Recreational Facilities
Wishing Well Park,Other,1700 Pharmacy Ave,Scarborough,M1T 1H1,658439,Square feet,100,0,46872.220577,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1874.8888230800001,7.1187180403832512E-2,NA,WWP,Outdoor Recreational Facilities
Withrow Park,Other,725 Logan Ave,Toronto,M4K 3B9,6835,Square feet,100,0,4799.6176770000002,kWh,14705.671248000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28128.201320193122,23.41531865536659,NA,WITP,Outdoor Recreational Facilities
Withrow Park Ice Rink,Other,725 Logan Ave,Toronto,M4K 3B9,452,Square feet,100,0,367234.97801600001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14689.399120640001,812.4701508003136,NA,WPIR,Outdoor Recreational Facilities
Woburn Ave Playground,Other,75 Woburn Ave,Toronto,M5M 3J5,39880,Square feet,100,0,12433.537713,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497.34150851999999,0.31177506317470255,NA,WBPG,Outdoor Recreational Facilities
Woburn Park,Other,50 Dormington Dr,Scarborough,M1G 3N2,216107,Square feet,100,0,337.35457199999996,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.494182879999999,1.5610599269993567E-3,NA,WBP,Outdoor Recreational Facilities
Woodbine Beach Park,Other,1675 Lake Shore Blvd E,Toronto,M4L 3W6,7535,Square feet,100,0,23804.075063,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,952.16300252000008,3.1591472125608622,NA,WBBP,Outdoor Recreational Facilities
Woodbine Park,Other,1695 Queen St E,Toronto,M4L 1G5,1280636,Square feet,100,0,161670.50324999998,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6466.8201299999992,0.12624288000422981,NA,1695QU,Outdoor Recreational Facilities
York Mills Valley Park,Other,5 Mill St,Toronto,M5A 3R6,477702,Square feet,100,0,44095.009435,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1763.8003774000001,9.2306905066769612E-2,NA,YMVP,Outdoor Recreational Facilities
Zooview Park,Other,50 Hedge End Rd.,Scarborough,M1B 5Z4,1,Square feet,100,0,2652.273733,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.09094932000001,2652.2847841405542,NA,ZOOVIE,Outdoor Recreational Facilities
1 Berkeley St,Parking garages,1 Berkeley St,Toronto,M5A 2W9,120,Square feet,168,0,7528.8260300000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301.15304120000002,62.740478334237153,NA,1BERKELEYST,Parking Lots and Garages
1 Norton Ave,Parking garages,1 Norton Ave,Toronto,M6E 1E1,16996,Square feet,168,0,11262.171375,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450.48685499999999,0.6626393445936728,NA,1NORTO,Parking Lots and Garages
10 Arundel Ave,Parking garages,10 Arundel Ave,Toronto,M4K 1P3,11496,Square feet,168,0,6681.0578740000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.24231495999999,0.58116611967128928,NA,10ARUN,Parking Lots and Garages
10 Delislie Ave,Parking garages,10 Delisle Ave,Toronto,M4V 3C6,238,Square feet,168,0,379281.597748,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15171.263909920001,1593.6267986890361,NA,10DA,Parking Lots and Garages
10 Dovercourt Rd,Parking garages,10 Dovercourt Rd,Toronto,M6J 1H8,8,Square feet,168,0,1836.076468,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.443058719999996,229.51051478982706,NA,10DOV,Parking Lots and Garages
10 Empress Ave,Parking garages,10 Empress Ave,North York,M2N 3V2,68,Square feet,168,0,9048.9495310000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361.95798124000004,133.07334169053499,NA,10EMP,Parking Lots and Garages
10 Kingsdale Ave,Parking garages,10 Kingsdale Ave,North York,M2N 3W1,50,Square feet,168,0,3067.530205,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.7012082,61.35085972751709,NA,10KING,Parking Lots and Garages
11 Grenview Blvd,Parking garages,11 Grenview Blvd,Etobicoke,M8X 2J9,83,Square feet,168,0,3374.0496450000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.96198580000001,40.651369922170936,NA,11GREN,Parking Lots and Garages
11 Kenwood Ave,Parking garages,11 Kenwood Ave,Toronto,M6C 2R6,25,Square feet,168,0,3470.1416379999996,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.80566551999999,138.80624387693965,NA,11KEN,Parking Lots and Garages
110 Queen St W,Parking garages,110 Queen St W,Toronto,M5H 2N1,598473,Square feet,168,0,4364297.4800000004,kWh,11527.216666999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196470.03743013323,7.4957526670533943,NA,110QUE,Parking Lots and Garages
1119 Dundas St W,Parking garages,1119 Dundas St W,Mississauga,L5C 1C8,37,Square feet,168,0,9348.9147109999994,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373.95658843999996,252.67442337327824,NA,1119DSW,Parking Lots and Garages
1119 Queen St W,Parking garages,1119 Queen St W,Toronto,M6J 1J3,7352,Square feet,168,0,461.50990299999995,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.460396119999999,6.2773643356628009E-2,NA,1119QU,Parking Lots and Garages
113 Spadina Lot,Parking garages,113 Spadina Ave,Toronto,M5V 2K2,18,Square feet,168,0,6447.3196160000007,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257.89278464000006,358.18591554620741,NA,113SPADINA,Parking Lots and Garages
1141 Eastern Ave,Parking garages,1141 Eastern Ave,Toronto,M4L 1G5,18,Square feet,168,0,17149.156063000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685.96624252000015,952.73486210094075,NA,1141EA,Parking Lots and Garages
115 Broadview Ave,Parking garages,115 Broadview Ave,Toronto,M4M 1H1,26135,Square feet,168,0,5973.8663320000005,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.95465328000003,0.22857819870326063,NA,115BRO,Parking Lots and Garages
1155 King St W,Parking garages,1155 King St W,Toronto,M6K 3E4,329,Square feet,168,0,22791.555370999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,911.66221483999993,69.275532935605,NA,1155KI,Parking Lots and Garages
117 Hammersmith Ave,Parking garages,117 Hammersmith Ave,Toronto,M4E 2W5,9171,Square feet,168,0,1890.1345079999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.605380319999995,0.20609992187988765,NA,117HAM,Parking Lots and Garages
12 Willingdon Blvd,Parking garages,12 Willingdon Blvd,Etobicoke,M8X 2H2,66,Square feet,168,0,12134.099088000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485.36396352000003,183.85075222342729,NA,12WILL,Parking Lots and Garages
12 Woodycrest Ave,Parking garages,12 Woodycrest Ave,Toronto,M4J 3A5,14198,Square feet,168,0,3767.9207839999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.71683135999999,0.26538501786659618,NA,12WOOD,Parking Lots and Garages
120 Sixth St,Parking garages,120 Sixth St,Etobicoke,M8V 3A3,54,Square feet,168,0,16085.600627,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643.42402507999998,297.88273426548045,NA,120SIX,Parking Lots and Garages
121 St Patrick St,Parking garages,121 St Patrick St,Toronto,M5T 3C1,36,Square feet,168,0,3741.572991,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.66291964000001,103.93301613576284,NA,121STPATRICKST,Parking Lots and Garages
128 Eighth St,Parking garages,128 Eighth St,Etobicoke,M8V 1J7,45,Square feet,168,0,9995.5582720000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399.82233088000004,222.12444267021036,NA,128EIG,Parking Lots and Garages
132 Wellington St W,Parking garages,132 Wellington St W,Toronto,M5J 2H7,323,Square feet,168,0,692513.85673200001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27700.554269280001,2144.0146817535697,NA,132WEL,Parking Lots and Garages
1325 Queen St W,Parking garages,1325 Queen St W,Toronto,M6K 1L8,12303,Square feet,168,0,6139.0220609999997,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245.56088244,0.4989878598925942,NA,1325QU,Parking Lots and Garages
135 Greenlaw Ave,Parking garages,135 Greenlaw Ave,Toronto,M6E 1B8,13197,Square feet,168,0,8093.1948739999998,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323.72779495999998,0.61326275635715,NA,135GRE,Parking Lots and Garages
136 Broadview Ave,Parking garages,136 Broadview Ave,Toronto,M4M 2G2,22,Square feet,168,0,5788.1772780000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.52709112000002,263.10006342751473,NA,136BROAD,Parking Lots and Garages
14 Castlefield Ave,Parking garages,14 Castlefield Ave,Toronto,M4R 1G4,37620,Square feet,168,0,34177.524380999996,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1367.1009752399998,0.90849725644209423,NA,14CAST,Parking Lots and Garages
140 Fifth St,Parking garages,140 Fifth St,Etobicoke,M8V 2Z3,53,Square feet,168,0,4385.2450760000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.40980304000001,82.740817884046848,NA,140FIFTHST,Parking Lots and Garages
1439 Danforth Ave,Parking garages,1439 Danforth Ave,Toronto,M4J 1N3,20,Square feet,168,0,3114.2362680000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.56945072000001,155.7124621992225,NA,1439DAN,Parking Lots and Garages
146 Harrison St,Parking garages,146 Harrison St,Toronto,M6J 2A4,15812,Square feet,168,0,8737.8268179999995,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349.51307271999997,0.55260961457195434,NA,146HAR,Parking Lots and Garages
149 Hiawatha Rd,Parking garages,149 Hiawatha Rd,Toronto,M4L 2J6,1399,Square feet,168,0,5237.2349180000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.48939672,3.7435716510451451,NA,149HIA,Parking Lots and Garages
15 Price St,Parking garages,15 Price St,Toronto,M4W 1Y7,71,Square feet,168,0,19859.341393999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,794.37365576000002,279.71019917261702,NA,15PS,Parking Lots and Garages
15 Primrose Ave,Parking garages,15 Primrose Ave,Etobicoke,M8V 1C5,23,Square feet,168,0,8066.3819999999996,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.65528,350.71372217065215,NA,15PRIM,Parking Lots and Garages
15 Wellesley St E,Parking garages,15 Wellesley St E,Toronto,M4Y 3A6,41603,Square feet,168,0,36884.033184,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1475.3613273600001,0.88657517168164779,NA,15WELL,Parking Lots and Garages
150 Westmount Ave,Parking garages,150 Westmount Ave,Toronto,M6E 3M8,14,Square feet,168,0,2423.6940629999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.947762519999998,173.12172583751871,NA,150WEST,Parking Lots and Garages
1501 Yonge St,Parking garages,1501 Yonge St,Toronto,M4T 1Z2,37,Square feet,168,0,4908.0402370000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.32160948000001,132.65028884236901,NA,1501YON,Parking Lots and Garages
1503 Bayview Ave E,Parking garages,1503 Bayview Ave E.,East York,M4G 3A8,25,Square feet,168,0,2301.5577280000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.062309120000009,92.062692712954671,NA,1503BAYVIEWAVEE,Parking Lots and Garages
1535 Eglinton Ave W,Parking garages,1535 Eglinton Ave W,Toronto,M6C 2C9,23,Square feet,168,0,3912.5167280000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.50066912,170.11013174578406,NA,1535EGW,Parking Lots and Garages
155 Queens Quay E,Parking garages,155 Queens Quay E,Toronto,M5A 1B6,116,Square feet,168,0,11572.240001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462.88960004,99.761105333333376,NA,155QQE,Parking Lots and Garages
16 Fuller Ave,Parking garages,16 Fuller Ave,Toronto,M6R 2C4,19547,Square feet,168,0,8371.3496059999998,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334.85398423999999,0.42826952916679578,NA,16FULL,Parking Lots and Garages
16 Lipton Ave,Parking garages,16 Lipton Ave,Toronto,M4K 3S7,70,Square feet,168,0,7578.83608,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.15344320000003,108.26953797833809,NA,16LIPT,Parking Lots and Garages
16 Rosehill Ave,Parking garages,16 Rosehill Ave,Toronto,M4T 2B7,557,Square feet,168,0,1024729.240226,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40989.16960904,1839.7370016717548,NA,16ROSE,Parking Lots and Garages
1608 Danforth Ave,Parking garages,1608 Danforth Ave,Toronto,M4C 1H6,8708,Square feet,168,0,6120.3010979999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.81204392000001,0.70283952678623962,NA,1608DA,Parking Lots and Garages
161 Beatrice St,Parking garages,161 Beatrice St,Toronto,M6J 2T3,18,Square feet,168,0,7063.7582259999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282.55032904000001,392.43264768477451,NA,161BEA,Parking Lots and Garages
1624 Queen St W,Parking garages,1624 Queen St W,Toronto,M6R 1B2,33,Square feet,168,0,7702.45,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.09800000000001,233.40854828914141,NA,1624QW,Parking Lots and Garages
18 Ferrier Ave,Parking garages,18 Ferrier Ave,Toronto,M4K 1P7,6900,Square feet,168,0,1310.109829,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.404393159999998,0.18987178083926873,NA,18FERR,Parking Lots and Garages
18 Ossington Ave,Parking garages,18 Ossington Ave,Toronto,M6J 2Y7,6469,Square feet,168,0,2767.130819,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.68523276000001,0.42775426630263502,NA,18OSSI,Parking Lots and Garages
19 Spadina Rd,Parking garages,19 Spadina Rd,Toronto,M5R 2S9,65,Square feet,168,0,14235.487305000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569.41949220000004,219.0084095312375,NA,19SPA,Parking Lots and Garages
1950 Lawrence Ave E,Parking garages,1950 Lawrence Ave E,Scarborough,M1R 2Y7,25,Square feet,168,0,3048.244741,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.92978964,121.93029768079015,NA,1950LAWE,Parking Lots and Garages
2 Church St,Parking garages,2 Church St,Toronto,M5E 1Y8,125023,Square feet,168,0,2188042.1860969998,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87521.687443880001,17.501190204517904,NA,2CHURC,Parking Lots and Garages
20 Augusta Ave,Parking garages,20 Augusta Ave,Toronto,M5E 1Z3,120,Square feet,168,0,13326.064849,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533.04259395999998,111.05100311891836,NA,20AUGA,Parking Lots and Garages
20 Castle Knock Rd,Parking garages,20 Castle Knock Rd,Toronto,M5N 1A5,154,Square feet,168,0,8288.9142339999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331.55656936000003,53.824342669757407,NA,20CAST,Parking Lots and Garages
20 Charles St E,Parking garages,20 Charles St E,Toronto,M4Y 1T1,430,Square feet,168,0,489878.47729999997,kWh,9966,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38527.449632000003,1383.9280671894317,NA,20CHAR,Parking Lots and Garages
20 Prescott Ave,Parking garages,20 Prescott Ave,Toronto,M6N 3G6,37,Square feet,168,0,7487.9714379999996,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.51885751999998,202.3784496724592,NA,20PRES,Parking Lots and Garages
